ORF,RNA Change (q-value FDR),Protein Change (q-value FDR),(C4)_030_rna,(C4)_060_rna,(C4)_090_rna,(C4)_120_rna,(C4)_240_rna,(C5)_030_rna,(C5)_060_rna,(C5)_090_rna,(C5)_120_rna,(C5)_240_rna,(C6)_030_rna,(C6)_060_rna,(C6)_090_rna,(C6)_120_rna,(C6)_240_rna,(C4)_030_protein,(C4)_060_protein,(C4)_090_protein,(C4)_120_protein,(C4)_240_protein,(C5)_030_protein,(C5)_060_protein,(C5)_090_protein,(C5)_120_protein,(C5)_240_protein,(C6)_030_protein,(C6)_060_protein,(C6)_090_protein,(C6)_120_protein,(C6)_240_protein
YMR309C,1.1E-05,0.761512,-0.71,-0.42,-0.28,-0.68,-0.45,-1.33,0.08,-0.17,-0.27,-0.19,-1.51,-0.34,-0.25,-0.33,-0.44,-0.05,-0.01,0,0,-0.06,-0.08,-0.01,0.02,-0.03,-0.07,-0.01,0.04,0.1,0.08,0.1
YMR038C,0.057071,0.761995,-0.44,0.2,0.14,0.21,0.4,-0.36,-0.42,0.06,0.07,0.48,-0.58,-0.24,0.02,-0.36,-0.23,0.03,-0.17,-0.17,-0.19,-0.09,-0.06,-0.19,-0.21,-0.41,-0.37,0.26,0.19,0.13,0.18,0.22
YDR162C,0.048423,0.764155,0.56,0.04,-0.02,-0.07,-0.22,0.36,0.09,-0.25,-0.13,0.02,-0.03,-0.31,-0.4,-0.25,-0.46,,,,,,-0.05,0.11,0.08,-0.1,0.01,,,,,
YHR132C,0.029714,0.76435,0.25,0.3,0.17,0.27,0.24,0.16,0.15,0.3,0.18,0.4,0.05,-0.11,0.08,0.08,-0.04,0.96,0.66,1.47,1.63,0.05,0.1,0.03,0.04,0.01,0.18,-0.07,-0.17,-0.33,-0.67,-0.13
YBR095C,0.013624,0.764677,0.07,0.07,-0.07,-0.09,-0.39,-0.04,-0.15,-0.14,-0.23,-0.15,0.02,0.04,-0.03,-0.01,-0.25,-0.21,-0.16,-0.24,-0.11,-0.03,-0.12,0.05,0.22,0.2,0.24,,,,,
YLR372W,0,0.765984,-1.55,0.1,-0.01,-0.2,0.15,-2.12,-0.57,-0.14,-0.23,-0.11,-2.11,-0.56,-0.07,-0.06,0.22,-0.07,-0.09,-0.08,-0.09,-0.01,-0.18,-0.24,-0.12,-0.3,-0.22,0.1,0.14,0.08,0.05,0.18
YDR117C,0.17789,0.767399,0.22,0.03,-0.09,-0.02,-0.15,0.12,0.27,0.19,0.03,0.38,0.13,0.18,0.08,0.15,0.09,0.38,0.21,-0.03,-0.01,-0.15,-0.31,-0.2,-0.28,-0.21,-0.04,0.63,0.49,0.39,0.44,0.57
YNL151C,0,0.767627,-1.22,-0.55,-0.63,-0.57,-0.25,-2.11,-1.24,-1.05,-1.21,-0.64,-2.03,-0.82,-0.63,-0.76,-0.64,0.12,-0.16,-0.24,0.01,-0.24,-0.13,0,-0.05,-0.09,0.16,,,,,
YMR086W,0.000756,0.768229,0.82,0.35,0.26,0.3,0.14,0.24,0.38,0.19,0.24,0.18,0.29,0.37,0.08,0.02,-0.06,0.02,0.04,0.18,0.17,0.33,0.06,0.06,0.24,0.41,0.46,0.07,-0.18,-0.1,-0.19,-0.38
YGL153W,0.764851,0.768899,0.39,0.19,0.11,0.08,-0.05,-0.11,0.02,-0.17,-0.1,-0.05,-0.09,-0.15,-0.15,-0.25,-0.17,0.15,-0.08,0.17,0.01,0.16,0.21,0.17,0.01,0.02,0.2,0.02,-0.34,-0.2,-0.05,-0.23
YHR068W,4.2E-05,0.769097,-0.84,-0.25,-0.18,-0.05,-0.17,-0.36,-0.41,-0.25,0,0.1,-0.77,-0.54,-0.09,-0.07,0.14,-0.01,-0.02,-0.03,-0.05,-0.08,0.01,-0.04,0.03,-0.01,-0.06,0.09,0.07,0.12,0.12,0.01
YPR072W,0.309343,0.770168,0.4,0.03,-0.04,-0.12,-0.29,-0.07,0.13,-0.01,-0.18,0.07,0.05,-0.04,-0.04,-0.08,-0.09,0.1,0.07,0.07,0.03,-0.01,0.07,0.04,0.19,-0.15,-0.18,-0.09,-0.08,0.04,0.05,0.19
YNL260C,0.019389,0.770875,0.25,-0.15,-0.55,-0.41,-0.5,0.24,-0.09,-0.13,-0.05,0,0.3,-0.15,-0.11,-0.13,0,,,,,,-0.02,0.01,0.08,0.03,0.15,,,,,
YKR025W,3E-06,0.771829,-0.56,-0.28,-0.38,-0.26,-0.17,-1.11,-0.54,-0.68,-0.66,-0.15,-1.12,-0.2,-0.49,-0.47,-0.24,-0.08,-0.27,-0.31,-0.23,-0.45,1.47,1.29,-0.15,1.19,1.13,0.04,-0.08,-0.03,-0.31,-0.33
YDR365C,1E-06,0.772537,-1.01,-0.7,-0.53,-0.57,-0.5,-1.6,-0.96,-1.22,-1.08,-0.57,-1.41,-0.65,-0.38,-0.59,-0.32,-0.04,-0.05,-0.15,-0.08,0.02,0.04,0.03,0.09,0,0.19,,,,,
YKR062W,0.040565,0.772657,0.35,-0.16,-0.06,0.17,-0.24,0.22,0.02,-0.09,-0.19,0.12,0.26,-0.37,-0.14,-0.2,-0.24,0.1,-0.11,-0.07,-0.14,0,0.05,0.06,0.18,0.11,0.23,,,,,
YJR045C,0.195599,0.772948,-0.14,0.08,0.2,-0.11,0.1,-0.29,0.05,-0.01,-0.02,0.16,-0.92,-0.34,-0.27,-0.66,-0.72,0.01,-0.03,-0.03,-0.03,0.01,0.03,0,0.01,0.01,0,0,-0.03,-0.04,-0.07,-0.08
YPR088C,0.004433,0.773131,-0.28,0.2,-0.17,-0.18,0.05,-0.7,-0.25,-0.26,-0.47,0.16,-0.65,0.01,0.03,-0.24,-0.39,0.04,-0.11,-0.12,-0.17,-0.06,-0.03,-0.08,-0.18,-0.3,-0.19,0.06,-0.08,0.14,0.18,0.23
YCL008C,0.00016,0.77418,0.53,0.04,0.25,0.15,0.08,0.75,0.51,0.09,0.3,0.15,0.49,0.63,-0.02,0.15,-0.01,,,,,,0.44,0.23,0.32,0.18,0.61,-0.15,-0.36,-0.2,0.05,-0.03
YDR234W,0,0.774626,-1.87,0.42,0.18,0.08,-0.13,-1.56,-0.09,0.15,-0.39,0.06,-1.66,0.3,0.23,-0.05,-0.06,-0.08,0.03,-0.02,-0.01,0.15,-0.15,-0.1,-0.04,-0.09,-0.19,0.01,0.14,0.33,0.3,0.26
YPL232W,0.073731,0.775114,0.27,0.8,0.42,0.61,-0.02,-0.13,0.05,-0.11,0.02,0.29,-0.23,0.69,0.2,-0.01,-0.1,0.13,0.05,-0.02,0.08,-0.06,,,,,,,,,,
YGR152C,0.000743,0.777953,-0.45,0.28,-0.09,-0.01,-0.24,-0.53,-0.25,-0.26,-0.58,-0.22,-0.67,-0.2,-0.21,-0.52,-0.42,-0.12,-0.15,-0.13,-0.25,-0.11,0.44,0.37,0.01,-0.03,0.42,,,,,
YAR014C,0.044387,0.780241,-0.01,0.05,-0.03,0.01,-0.23,-0.5,-0.21,-0.31,-0.28,0.03,-0.24,0.03,-0.17,-0.24,-0.3,,,,,,-0.11,-0.09,0.05,-0.04,0.07,,,,,
YGL097W,1E-06,0.780437,-0.62,-0.2,-0.11,-0.27,-0.15,-0.92,-0.53,-0.19,-0.34,-0.02,-0.9,-0.38,-0.23,-0.41,-0.41,-0.07,-0.04,0,-0.03,-0.01,-0.04,-0.02,-0.07,-0.2,0.06,-0.01,0.08,0.05,0.09,0.09
YJR068W,0.034787,0.780884,-0.04,-0.04,-0.18,-0.01,-0.14,-0.44,-0.15,-0.24,-0.21,0.12,-0.37,0.03,0.04,-0.18,-0.01,-0.15,-0.1,-0.08,-0.24,0.04,-0.06,-0.11,-0.1,-0.05,-0.02,0.72,0.61,0.94,0.35,0.21
YCR084C,0.143252,0.782914,-0.01,0.16,0.08,0.12,0.2,-0.25,0.08,-0.01,0.15,-0.02,-0.48,0.21,-0.11,-0.05,-0.31,-0.07,0.12,0.06,0.07,0.02,0.18,0,0.02,-0.15,0.14,,,,,
YDL173W,0.163519,0.782931,0.7,0.33,0.19,0.31,-0.38,0.26,-0.13,0,-0.15,0.13,0.05,0.35,0.02,-0.28,-0.4,0.28,0.16,0.1,0.04,-0.04,-0.18,-0.03,-0.2,-0.21,-0.35,0.35,0.39,0.22,0.27,0.48
YDR023W,0.001661,0.783504,-0.15,-0.09,-0.18,-0.37,-0.3,-0.29,-0.37,-0.13,-0.25,0.1,-0.44,-0.7,-0.12,-0.36,-0.3,0,-0.01,0.01,0.01,-0.02,-0.04,-0.02,-0.01,-0.03,-0.13,-0.02,-0.02,0.03,0.02,0.02
YER021W,0.010083,0.785663,0.93,-0.43,-0.33,-0.48,-0.33,0.98,0.81,0.08,0.01,0.23,0.61,-0.04,-0.28,-0.41,-0.08,-0.02,0.04,-0.08,-0.09,-0.2,,,,,,0.08,0.17,0.08,0.13,0.05
YER027C,0.000581,0.786765,0.54,0.27,0.09,0.25,0.25,0.34,0.37,0.04,0.12,0.35,0.39,0.37,0.01,-0.04,-0.15,0.14,0.21,0.2,0.26,0.05,-0.23,-0.09,0.03,-0.09,-0.36,,,,,
YEL051W,0.057051,0.787096,-0.31,0.17,0.34,0.31,0.13,-0.49,-0.48,-0.15,-0.31,0.11,-0.71,-0.32,-0.22,-0.16,-0.14,0.01,-0.02,-0.03,0.01,-0.02,-0.02,-0.03,0.03,0.05,0.11,-0.06,-0.14,-0.02,-0.14,-0.1
YLR324W,0.00042,0.787367,0.82,-0.16,-0.06,0.15,0.09,0.64,0.17,-0.02,-0.07,-0.11,0.55,0.05,-0.26,-0.2,-0.41,-0.05,0.15,-0.12,0.05,-0.25,0.02,0.16,0.19,0.05,0.19,,,,,
YJR003C,0,0.787794,-0.67,-0.48,-0.44,-0.48,-0.34,-0.64,-0.5,-0.6,-0.46,-0.36,-0.87,-0.61,-0.45,-0.43,-0.41,-0.07,-0.21,-0.23,-0.11,-0.48,0.07,0.02,0.14,0.2,0.07,,,,,
YFR028C,0.06762,0.788146,-0.05,0.08,0.16,0.14,-0.02,-0.11,0.01,0.09,0.1,0.09,-0.17,0.14,0.01,0.08,-0.1,0,0.04,0.02,-0.02,0.18,0.06,0.03,0.15,-0.06,-0.1,,,,,
YJR032W,9E-06,0.788511,-0.67,-0.27,-0.45,-0.6,-0.37,-0.97,-0.14,-0.13,-0.39,-0.06,-0.8,-0.23,0.1,-0.41,-0.04,-0.31,-0.19,-0.24,-0.47,-0.34,0.35,0.29,-0.1,-0.11,0.5,0.21,0.12,0.08,0.1,0.25
YPR161C,8.1E-05,0.789943,-0.15,-0.2,-0.34,-0.27,-0.21,-0.21,-0.27,-0.3,-0.2,-0.03,-0.24,-0.14,-0.13,-0.3,-0.29,-0.09,0.37,0.12,0.15,-0.04,0.02,-0.18,0.01,-0.1,0.06,-0.38,-0.19,-0.33,-0.15,-0.27
YJR064W,1E-05,0.790511,-0.19,-0.56,-0.61,-0.72,-0.36,-0.6,-0.11,-0.43,-0.57,-0.1,-0.66,-0.28,-0.38,-0.53,-0.27,-0.06,0.04,0.01,-0.05,-0.12,0.18,0.02,-0.02,-0.01,-0.04,-0.02,0.09,0.2,0.23,0.13
YLR078C,0.535286,0.790878,-0.16,0.09,-0.13,0.05,-0.07,-0.13,0.03,-0.03,-0.12,0.16,0.1,0.13,0.03,-0.03,0.09,-0.18,0.03,0.01,0.18,0.09,0.03,0,-0.02,0.13,0.18,-0.28,-0.29,-0.15,-0.38,-0.32
YLR330W,0.034449,0.792484,0.71,0.54,0.27,0.07,0.15,0.25,0.2,0.09,-0.02,0.13,0.28,0.1,0.03,-0.22,-0.47,0,-0.08,-0.09,-0.07,-0.06,-0.16,-0.06,-1.5,-0.19,0.09,0.43,0.24,0.45,0.29,0.21
YKL067W,0.001451,0.795798,0.54,0.62,0.2,0.19,0.54,0.58,1.05,1.12,0.81,0.74,0.2,0.2,0.44,0.05,0.37,0.09,0.2,0.25,0.31,0.41,0.06,0.13,0.22,0.33,0.41,0.24,0,-0.03,-0.43,-0.5
YNL161W,0.057587,0.796058,0.48,0.14,0.17,0.19,-0.04,0.26,0.1,-0.02,-0.02,0.03,0.16,0.04,-0.12,-0.12,-0.4,0.07,-0.04,-0.22,0.08,-0.16,-0.13,-0.03,-0.02,-0.08,0.09,,,,,
YIL027C,2.6E-05,0.796439,-0.59,0.07,-0.24,-0.54,-0.1,-0.56,-0.09,-0.2,-0.25,-0.01,-0.57,-0.42,-0.06,-0.51,-0.12,,,,,,-0.26,-0.07,-0.05,-0.12,-0.39,-0.08,-0.1,0.22,0.37,0.24
YLR215C,0.016304,0.797288,0.11,-0.2,-0.09,-0.18,-0.07,-0.26,-0.13,-0.34,-0.25,-0.07,-0.33,0.03,-0.17,-0.21,-0.14,0.37,0.11,-0.16,-0.29,-0.36,-0.03,0.26,0.13,0.17,0.23,,,,,
YGL020C,0.000603,0.799036,-0.23,0.03,0,0.12,0.07,-0.43,0.05,0.16,0.04,0.13,-0.7,-0.03,0.08,0.08,0.11,-0.04,-0.08,-0.1,-0.13,-0.15,,,,,,0,0.01,-0.19,0.16,0.27
YGR208W,1E-06,0.799969,-0.5,-0.11,-0.64,-0.42,-0.18,-0.94,-0.45,-0.71,-0.77,-0.28,-0.87,-0.33,-0.57,-0.74,-0.64,-0.06,-0.16,-0.12,-0.14,-0.13,-0.09,-0.06,-0.16,-0.21,-0.31,0.16,0.23,0.17,0.16,0.05
YBL016W,1.1E-05,0.800286,-0.52,-0.55,-0.43,-0.27,-0.57,-0.8,-0.85,-0.93,-0.68,-0.33,-0.56,-0.19,-0.53,-0.44,-0.49,,,,,,0.08,0.02,0.1,-0.1,-0.01,,,,,
YGR275W,5.9E-05,0.803186,0,-0.19,-0.52,-0.75,-0.6,-0.91,-0.5,-0.79,-0.75,-0.42,-0.81,-0.71,-0.33,-0.7,-0.34,0.19,0.04,-0.06,-0.04,-0.11,-0.14,-0.21,-0.13,-0.19,-0.11,0.31,0.54,0.63,0.32,0.85
YER094C,0.192795,0.804759,0.78,-0.27,-0.02,0.18,0.15,0.39,0.42,0.01,-0.07,0.16,0.18,-0.16,-0.43,-0.53,-0.37,-0.03,0.01,-0.02,-0.04,0.02,-0.04,0.07,0.06,-0.03,-0.09,,,,,
YJL061W,0.000312,0.805212,-0.25,-0.18,-0.22,-0.3,-0.29,-0.27,-0.14,-0.22,-0.22,-0.19,-0.21,-0.15,-0.06,-0.05,-0.08,0.45,0.86,0.49,0.91,0.28,,,,,,0,-0.13,-0.28,-0.29,-0.39
YML093W,0,0.805752,-1.33,-0.45,-0.46,-0.61,-0.57,-2.26,-1.02,-1.02,-1.09,-0.49,-2.21,-0.64,-0.45,-0.78,-0.58,-0.09,-0.17,-0.2,-0.18,-0.24,0,-0.06,-0.19,-0.27,-0.06,-0.02,0.27,0.15,0.23,-0.01
YGL093W,0.91293,0.807396,0.02,0.31,0.11,0.2,0.16,0.06,0.04,0.11,-0.02,0.13,-0.03,-0.05,-0.06,-0.2,-0.29,,,,,,-0.09,0.12,-0.04,0.02,0.04,,,,,
YMR108W,0,0.807849,-1.17,-0.28,-0.23,-0.27,0.07,-0.75,-0.02,-0.18,-0.42,-0.13,-1.16,-0.13,-0.24,-0.32,-0.17,-0.08,-0.11,-0.11,-0.16,-0.15,0.06,0.01,0.01,-0.06,-0.03,0.01,0.07,0.01,0.01,0.1
YNR033W,0.098766,0.80829,-0.02,-0.28,-0.17,-0.03,0,0.35,-0.05,-0.05,0.03,0.13,0.34,-0.06,-0.07,-0.14,-0.2,,,,,,0,-0.02,0,0,0.16,,,,,
YBR058C,0.051483,0.810492,0.14,0.09,0.13,0.02,-0.02,0,0.37,0.19,0.11,0.14,-0.02,0.12,0.09,0.06,-0.1,,,,,,-0.05,-0.01,0.05,0.01,-0.1,0.03,0.14,0.08,0,0.08
YGL151W,0.010734,0.812688,0.27,-0.06,0.02,-0.14,-0.19,0.46,0.31,0.25,0.17,0.05,0.42,0.02,0.08,0.15,0.05,-0.15,0.04,-0.11,-0.02,-0.38,0,-0.15,0.14,0.09,0.09,,,,,
YMR212C,1.3E-05,0.815126,-0.46,-0.43,-0.22,-0.21,0.03,-0.49,-0.19,-0.2,-0.11,-0.08,-0.41,-0.16,-0.24,-0.04,0.08,0.44,0.37,-0.14,0.21,-0.33,-0.24,-0.12,-0.22,-0.64,0.1,0.57,0.27,0.4,0.4,0.48
YCL001W,0.000683,0.816379,-0.66,-0.56,-0.27,-0.02,-0.08,-0.48,-0.36,-0.07,-0.16,-0.09,-0.09,-0.86,-0.11,-0.08,0.27,0.09,0.07,0.02,-0.06,-0.09,,,,,,,,,,
YOR327C,0.636764,0.818421,0.25,0.11,0.13,0.33,-0.52,-0.34,-0.07,0.01,-0.04,0.17,-0.38,-0.64,0.15,0.14,0.27,-0.06,-0.23,-0.19,-0.26,-0.11,0.04,-0.06,-0.12,-0.07,-0.18,0.01,0.11,0.04,0.19,0.14
YBR011C,0.602271,0.819137,0.29,0.11,0.18,0.11,0.01,0.27,0.12,0.17,0.2,0.44,-0.14,-0.58,0.01,-0.18,-0.02,0,-0.01,-0.01,0,0.04,-0.05,-0.06,-0.04,-0.01,-0.12,-0.04,-0.04,0.03,0.03,0.02
YJR099W,0.250417,0.820647,0.2,-0.1,-0.33,0.02,-0.12,0.16,0.09,0.02,-0.14,0.08,-0.07,0.05,-0.16,-0.14,-0.1,0.16,0.02,0.12,0.34,0.31,-0.18,0.06,0.1,0.04,-0.33,,,,,
YKL154W,0.000207,0.821223,-0.23,0.09,0.02,-0.41,-0.01,-0.58,-0.21,-0.19,-0.38,0.02,-0.75,-0.2,-0.1,-0.42,-0.19,-0.04,0.04,-0.03,0.02,-0.09,,,,,,0.1,-0.2,0.11,0.03,0
YNL088W,2.2E-05,0.8214,-0.94,0.08,-0.04,-0.17,-0.21,-0.86,-0.55,-0.11,-0.17,0.12,-0.84,-0.56,0.04,-0.1,-0.1,-0.06,-0.02,0.02,0.02,-0.02,-0.24,-0.19,-0.15,-0.24,-0.19,0.02,0.02,0.06,0.17,0.12
YNL259C,0.000132,0.821847,-0.13,0.39,0.18,0.73,0.54,0.02,0.41,0.99,0.45,0.71,-0.19,0.62,0.55,0.14,0.43,-0.14,-0.18,-0.15,-0.22,-0.13,-0.08,0,0.05,0.01,-0.07,-0.03,0.14,0.02,0.08,0.1
YNL062C,0,0.822348,-1.42,-0.7,-0.61,-0.68,-0.57,-1.61,-0.76,-0.82,-0.87,-0.15,-2.04,-0.65,-0.54,-0.69,-0.4,-0.07,-0.13,-0.13,-0.15,-0.2,-0.16,-0.13,-0.31,-0.3,-0.3,0.02,0.03,0.2,0.2,0.27
YML106W,0,0.82243,-1.34,-0.32,-0.27,-0.37,0.08,-1.17,-0.67,-0.35,-0.27,-0.15,-1.42,-0.35,-0.22,-0.29,-0.18,-0.1,-0.09,-0.14,-0.16,-0.19,-0.14,-0.12,-0.01,0.02,-0.36,0.63,-0.19,-0.06,0.65,0.48
YEL022W,0.001463,0.823636,-0.11,-0.18,-0.3,-0.41,-0.32,-0.08,0.07,-0.04,-0.21,-0.14,-0.22,-0.16,-0.2,-0.2,-0.22,-0.01,0.06,0.09,0.11,-0.02,,,,,,,,,,
YGL078C,0,0.82531,-1.9,-0.67,-0.75,-0.73,-0.65,-3.03,-0.84,-0.98,-0.93,-0.35,-2.94,-0.71,-0.55,-0.87,-0.53,-0.02,-0.07,-0.09,-0.11,-0.08,-0.07,-0.1,-0.07,-0.15,-0.16,0.07,0.06,0.07,0.08,0.11
YNR054C,0,0.826372,-1.22,-0.58,-0.39,-0.56,-0.86,-1.83,-0.86,-0.88,-0.86,-0.44,-1.94,-0.52,-0.58,-0.77,-0.51,,,,,,,,,,,-0.07,-0.02,-0.13,-0.03,-0.03
YNL149C,5.9E-05,0.826572,-0.24,-0.3,-0.1,-0.68,-0.49,-0.67,-0.38,-0.11,-0.58,0.02,-0.95,-0.7,-0.12,-0.66,-0.09,-0.06,-0.04,-0.04,-0.09,-0.07,-0.11,-0.06,0.01,0,-0.15,0.14,0.3,0.25,0.48,0.24
YNL191W,0.000164,0.828201,-0.58,-0.2,-0.48,-0.24,-0.01,-0.6,-0.22,-0.5,-0.49,0.04,-0.5,0.48,-0.47,-0.52,-0.21,,,,,,0.04,-0.01,0.04,0.03,0.14,,,,,
YBR121C,6E-06,0.828825,-0.9,-0.02,0.05,-0.22,-0.18,-0.66,-0.29,-0.1,-0.26,0.11,-1.05,-0.47,-0.09,-0.23,-0.17,-0.03,-0.02,0,0,0.01,-0.02,-0.06,-0.01,-0.03,-0.06,0,-0.02,-0.02,-0.01,0.02
YDR188W,0.183582,0.829233,-0.06,-0.14,-0.05,-0.04,0.01,-0.37,0.02,-0.16,-0.2,0.11,-0.23,0.34,-0.14,-0.27,-0.53,-0.09,-0.06,-0.05,-0.09,-0.06,0.04,0.03,0,-0.01,0.07,-0.03,-0.06,0.02,-0.01,0.01
YKL179C,0.000129,0.82944,0.54,-0.06,-0.02,-0.45,-0.27,0.27,0.11,-0.13,-0.26,-0.04,0.41,-0.12,-0.07,-0.26,-0.3,0.08,0.15,0.14,0.19,0.05,0.01,0.14,0.04,-0.01,0.14,-0.71,-0.45,-0.04,-0.41,-0.37
YBR199W,1E-06,0.830951,0.96,0.44,0.58,0.56,0.23,1.09,0.81,0.74,0.71,0.57,0.88,0.19,0.32,0.35,0.24,,,,,,-0.15,0.02,-0.02,-0.01,0.01,,,,,
YPR148C,0.002396,0.835061,0.75,0.88,0.5,0.63,0.29,-0.02,0.53,0.1,0.13,0.22,0.16,0.6,0.13,0.05,0.02,0.12,0.23,0.22,0.25,0.27,0.11,0.14,0.21,0.21,0.29,-0.7,-0.27,-0.3,0.11,-0.45
YAL036C,0,0.836598,-0.96,-0.63,-0.44,-0.46,-0.29,-1.4,-0.36,-0.6,-0.56,-0.12,-1.6,-0.63,-0.26,-0.64,-0.53,-0.01,-0.09,-0.15,-0.25,-0.23,-0.03,-0.12,-0.1,-0.16,-0.14,0.03,0.07,0.07,0.17,0.2
YDR211W,5E-06,0.838138,-0.45,-0.36,-0.44,-0.5,-0.28,-0.8,-0.31,-0.41,-0.54,-0.14,-0.73,-0.45,0,-0.3,-0.27,-0.05,-0.08,-0.09,-0.11,-0.11,0.06,-0.04,-0.14,-0.2,-0.11,0.03,0.03,0.07,0.13,0.12
YFR009W,0.101339,0.838294,0,0.06,-0.1,-0.34,-0.21,0.06,0.12,0.14,-0.11,0,0.09,-0.04,0.1,-0.07,-0.17,0.1,0.05,0.01,0.06,-0.04,0.04,0,0.02,0.03,0.09,-0.05,-0.01,-0.03,0.04,-0.06
YDR372C,0.024793,0.839625,0.18,0.29,0.01,0.03,0.32,-0.16,0.3,0.17,0.11,0.4,-0.17,-0.18,0.25,0.21,0.28,0.09,0.18,0.26,0.12,0.09,-0.17,-0.07,0.01,-0.18,-0.04,,,,,
YKL205W,0.002455,0.842022,-0.52,-0.46,-0.39,-0.47,-0.35,-0.59,0.16,0.01,-0.07,0,-0.8,-0.29,-0.26,-0.09,0.12,,,,,,0.04,0.06,-0.09,-0.09,0.03,,,,,
YLR410W-B,0.002501,0.847974,0.01,-0.42,-0.38,-0.52,-0.72,0.09,0.08,-0.11,-0.11,-0.21,0.04,-0.41,-0.42,-0.18,-0.47,-0.15,-0.43,-0.46,-0.48,-0.42,,,,,,0.14,0.1,0.13,0.14,0.16
YIR004W,0.000168,0.848116,-0.09,-0.04,0.02,-0.34,-0.38,-0.69,-0.3,-0.37,-0.61,-0.29,-0.56,-0.24,-0.31,-0.69,-0.52,0,0.07,-0.01,-0.05,-0.01,-0.17,-0.04,0,-0.07,-0.06,0.27,0.08,0.28,0.29,0.25
YOR168W,3E-05,0.848736,-0.42,-0.36,-0.51,-0.39,-0.44,-0.45,-0.12,-0.24,-0.36,-0.1,-0.62,-0.64,-0.27,-0.33,-0.22,-0.01,0.05,0.01,0.02,-0.03,0.09,0.05,0.05,0,0.16,-0.02,0.02,-0.06,-0.05,-0.02
YDR081C,0.012029,0.849461,-0.1,-0.11,-0.22,-0.11,-0.24,0.12,0,-0.18,-0.05,-0.09,0.04,-0.19,-0.15,-0.09,-0.1,,,,,,-0.05,0.02,0.01,-0.11,-0.08,,,,,
YNL139C,0.638126,0.852142,-0.1,-0.07,-0.12,-0.23,-0.15,-0.05,0.18,0.17,0.01,0.05,-0.12,-0.13,-0.08,-0.04,-0.08,-0.13,-0.11,0.1,-0.41,-0.22,0.06,0.15,-0.02,0.03,0.27,,,,,
YOR367W,0,0.852812,0.72,0.85,0.7,0.71,0.47,0.51,0.82,0.8,0.77,1,0.48,0.64,0.74,0.65,0.59,-0.08,-0.2,-0.23,-0.19,-0.05,0.46,0.34,0.32,0.24,0.5,,,,,
YDL047W,0.072779,0.853195,-0.13,-0.07,-0.14,0.03,-0.3,-0.07,-0.06,-0.16,-0.18,0.13,-0.35,0.15,-0.24,-0.41,-0.49,,,,,,-0.03,0.02,0.02,0.05,0.13,,,,,
YOR293W,0.000327,0.854072,-0.63,-0.36,0.34,-0.22,-0.18,-1.04,-0.28,0.43,0.2,-0.08,-1.39,-1.27,0.32,-0.34,0.13,-0.04,-0.02,-0.05,-0.14,-0.48,0.68,0.37,-0.22,0.13,0.64,-0.2,-0.34,-0.35,-0.4,-0.33
YPL051W,0.173731,0.854129,0.16,0.14,-0.08,0.05,-0.22,-0.06,-0.18,-0.38,-0.44,-0.03,0,-0.06,-0.11,-0.12,-0.08,0,0.03,0.01,-0.02,-0.14,,,,,,,,,,
YPR190C,0,0.855027,-1.02,-0.44,-0.47,-0.57,-0.44,-1.27,-0.47,-0.61,-0.65,-0.21,-1.27,-0.58,-0.45,-0.5,-0.58,-0.06,0.14,0.01,0.15,0.06,-0.09,-0.11,-0.02,-0.22,-0.28,0.03,0.13,0.24,0.42,0.24
YOR001W,1E-06,0.856871,-0.74,-0.47,-0.3,-0.37,-0.35,-1.07,-0.32,-0.48,-0.46,-0.01,-0.96,-0.22,-0.23,-0.2,-0.09,-0.07,-0.04,-0.06,-0.19,-0.27,0.04,-0.14,-0.24,-0.33,-0.11,0.06,0.13,0.27,0.13,0.18
YKR043C,0.006208,0.858191,-0.74,0.13,-0.03,0.17,0.2,-0.59,-0.34,-0.18,-0.24,0.19,-1.02,0.2,0,-0.22,-0.62,-0.09,-0.03,-0.01,-0.02,-0.06,-0.13,-0.06,0.02,-0.02,-0.14,0.08,0.22,0.21,0.16,0.21
YHR158C,0.01329,0.858665,0.12,0.22,0.11,-0.01,0.09,-0.02,0.12,0.15,0.12,-0.05,0.14,0.23,0.17,0.07,-0.13,-0.44,-0.5,-0.5,-0.51,-0.66,-0.1,0.12,0.16,0.21,0.26,-0.01,0,0.02,0.1,0.16
YJL087C,1.9E-05,0.86058,-0.31,-0.22,-0.28,-0.29,-0.28,-0.83,-0.35,-0.29,-0.33,-0.17,-0.67,-0.31,-0.03,-0.25,-0.37,-0.25,0.01,-0.03,-0.12,-0.14,0.07,0.1,0.04,-0.03,0.24,0,-0.16,0,-0.1,-0.11
YDR221W,0.035579,0.860861,0.24,0.11,0.11,0.17,0.27,0.25,0.11,0.02,0,0.24,0.12,0,0.07,-0.07,-0.05,-0.12,-0.05,-0.09,-0.06,-0.09,0.33,0.13,0.2,-0.01,0.38,,,,,
YLR401C,0,0.861517,-1.07,-0.25,-0.36,-0.27,-0.24,-1.82,-0.7,-0.6,-0.64,-0.22,-1.9,-0.32,-0.39,-0.49,-0.44,-0.05,0.12,0.25,0.19,0.06,0.05,-0.01,-0.08,-0.29,0.04,0.05,0.16,-0.22,0.03,0.12
