ORF,RNA Change (q-value FDR),Protein Change (q-value FDR),(C4)_030_rna,(C4)_060_rna,(C4)_090_rna,(C4)_120_rna,(C4)_240_rna,(C5)_030_rna,(C5)_060_rna,(C5)_090_rna,(C5)_120_rna,(C5)_240_rna,(C6)_030_rna,(C6)_060_rna,(C6)_090_rna,(C6)_120_rna,(C6)_240_rna,(C4)_030_protein,(C4)_060_protein,(C4)_090_protein,(C4)_120_protein,(C4)_240_protein,(C5)_030_protein,(C5)_060_protein,(C5)_090_protein,(C5)_120_protein,(C5)_240_protein,(C6)_030_protein,(C6)_060_protein,(C6)_090_protein,(C6)_120_protein,(C6)_240_protein
YPR191W,1E-06,0,1.31,1.04,1.06,1.16,0.63,1.24,1.11,1.24,1.1,0.98,1.1,0.85,0.63,0.43,0.04,0.25,0.35,0.38,0.44,0.45,0.08,0.32,0.45,0.54,0.76,0.19,0.33,0.34,0.37,0.52
YAL060W,0.000393,1E-06,1.04,0.49,0.77,0.79,0.64,1.49,0.49,0.88,1.18,0.89,0.69,0.22,0.22,0.04,-0.05,0.12,0.19,0.21,0.25,0.36,0.16,0.26,0.33,0.41,0.49,0.32,0.39,0.34,0.43,0.48
YBL045C,0,1E-06,0.84,0.78,0.94,0.81,0.63,1.07,0.87,1.14,1.2,1.09,0.75,0.49,0.68,0.65,0.47,0.18,0.28,0.28,0.43,0.45,0.1,0.16,0.22,0.29,0.56,0.23,0.39,0.4,0.52,0.74
YBR244W,8.8E-05,1E-06,-1.1,0.65,0.51,-0.16,0.29,-0.85,0.29,1.17,0.56,0.62,-0.85,0.1,1.24,0.85,1.1,0.03,0.1,0.34,0.49,0.91,-0.08,0.03,0.19,0.34,0.57,0.15,0.2,0.32,0.42,0.59
YBR256C,0,1E-06,0.69,0.96,1.04,0.9,0.23,0.23,1.12,1.41,1.08,0.88,0.53,0.76,1.2,0.9,1.23,0.14,0.22,0.29,0.4,0.55,0.04,0.1,0.32,0.35,0.59,0.26,0.33,0.51,0.24,0.69
YCR004C,2.9E-05,1E-06,0.77,0.35,0.51,0.52,0.21,0.83,0.63,0.55,0.64,0.6,0.47,0.54,0.24,0.08,0.09,0.09,0.22,0.25,0.32,0.44,-0.03,0.19,0.23,0.27,0.25,0.08,0.15,0.25,0.28,0.35
YDR001C,0,1E-06,2.78,1.43,1.08,1.28,0.85,2.79,2.3,1.75,1.71,1.31,2.53,1.41,1.02,1.01,0.66,0.37,0.8,0.64,0.76,0.74,0.24,0.78,0.89,0.94,0.97,0.26,0.35,0.44,0.52,0.55
YDR099W,0.000154,1E-06,0.56,0.56,0.17,0.14,0.08,0.75,0.91,0.55,0.52,0.45,0.28,0.7,0.24,0.07,-0.16,0.23,0.34,0.37,0.37,0.41,-0.07,0.29,0.34,0.39,0.25,0.16,0.22,0.39,0.5,0.39
YDR380W,0,1E-06,3.51,1.14,2.74,2.24,2.14,3.49,3.01,2.43,3.19,2.34,2.98,2.01,1.81,2.78,1.83,0.42,0.92,0.9,1.03,0.93,0.46,1.71,1.66,1.83,1.53,0.56,1.56,1.61,1.84,1.82
YEL026W,1E-06,1E-06,-1.77,-0.59,-0.13,-0.56,-0.15,-1.22,-0.93,-0.93,-0.74,-0.44,-1.52,-0.8,-0.48,-0.28,0.19,-0.01,-0.49,-0.43,-0.5,-0.3,0.1,-0.32,-0.53,-0.67,-0.49,0.04,-0.34,-0.79,-0.86,-0.58
