Systematic Name,Standard Name,Qualifier a,Mean molecules per cell,Median molecules per cell,Coefficient of Variation,LU,PENG,KUL,LAW,LAHT,DGD,LEE2,THAK,NAG,PIC,WEB,TKA,BRE,DEN,MAZ,CHO,YOF,NEW,LEE,DAV,GHA
YDL073W,AHK1,Verified,510,368,83,,259,68,,,475,,,772,,261,,1226,,,,,,,,
YFR029W,PTR3,Verified,499,371,107,,427,4,,,1252,,,,,314,,,,,,,,,,
YPR204W,YPR204W,Verified,371,371,101,,,107,,,,,635,,,,,,,,,,,,,
YOL063C,CRT10,Verified,447,374,84,,374,61,,,866,,,,,808,,,,,,,,,,125
YPR021C,AGC1,Verified,539,376,92,,634,450,,107,256,,,1482,,303,,,,,,,,,,
YLL033W,IRC19,Verified,377,377,111,,,82,,,,,,672,,,,,,,,,,,,
YKR051W,YKR051W,Uncharacterized,377,377,,,,,,,,,,,,377,,,,,,,,,,
YPL179W,PPQ1,Verified,371,377,64,,644,10,,,,,,377,,506,,,,,,,,,,319
YMR180C,CTL1,Verified,379,379,136,,,16,,,,,,,,741,,,,,,,,,,
YLR127C,APC2,Verified,519,388,91,,165,43,,,,,,343,,812,,1318,,,,,,,,432
YCL067C,HMLALPHA2,Verified,697,388,111,1836,,176,,,285,,,491,,,,,,,,,,,,
YDR285W,ZIP1,Verified,626,391,72,,343,,,,,,,,,,,1144,,,,,,,,391
YMR019W,STB4,Verified,465,392,109,,403,28,128,,730,,,,,392,,1478,,,,,,,,99
YPL008W,CHL1,Verified,395,394,99,,,17,,,,,,775,,690,,,,,,,,,,99
YBL019W,APN2,Verified,322,395,63,,474,23,,,,,,,,376,,,,,,,,,,414
YKL098W,MTC2,Verified,543,396,93,,,70,,,141,,,396,,845,,1263,,,,,,,,
YPL060W,MFM1,Verified,396,396,,,,,,,,,,,,,,,,,,,,,,396
YKR061W,KTR2,Verified,345,400,89,,400,13,,,,,,,,622,,,,,,,,,,
YLR098C,CHA4,Verified,660,402,87,,407,52,,,352,,,,,,,1265,,,1485,,,,,396
YDR540C,IRC4,Verified,815,403,112,,,35,,,,,,403,,,,1269,,,,,,2196,,172
YLR320W,MMS22,Verified,406,406,14,367,445,,,,,,,,,,,,,,,,,,,
YOR348C,PUT4,Verified,407,407,,,,,,,,,,407,,,,,,,,,,,,
YMR119W,ASI1,Verified,718,411,95,,220,52,,,,,,,,411,,1384,,,1526,,,,,
YHR131C,YHR131C,Uncharacterized,784,413,86,,413,,,,,,,314,,,,1364,,,1656,,,,,172
YGR188C,BUB1,Verified,520,414,111,,,2,,,,,,,,,,1145,,,,,,,,414
YPR061C,JID1,Verified,414,414,,,,,,,,,,,,,,,,,,,,,,414
YLR035C,MLH2,Verified,927,420,130,2902,420,5,,,,,,,,,,1237,,,,,,,,72
YOR249C,APC5,Verified,621,424,109,,588,23,,,,,,855,,144,,,,,1857,,,,,259
YJL157C,FAR1,Verified,769,426,100,,302,46,,,1861,,,,,549,,1618,,,,,,,,238
YDL231C,BRE4,Verified,426,426,141,851,,1,,,,,,,,,,,,,,,,,,
YDR253C,MET32,Verified,572,432,112,,1272,12,,,,,,432,,,,,,,,,,,,
YMR154C,RIM13,Verified,4055,432,235,,427,21,448,,968,,25681,,,411,,,,,,,,,,432
YMR207C,HFA1,Verified,1277,433,135,433,1469,,,,239,5011,,127,,,,1267,,,,,,,,396
YFL025C,BST1,Verified,949,434,115,,362,4,,,305,,,,,507,,,,2826,1689,,,,,
